"Census Subdivision (Municipal) Population Estimates, July 1, 2016 to 2024, Alberta",,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
Census Division,Census Subdivision,Area Name,Type,2016,2017,2018,2019,2020,2021,2022,2023,2024
4812,4812038,Improvement District No. 3496 *,ID,0,0,0,0,1,15,15,15,15
4812,4812802,Unipouheos 121,IRI,935,870,868,852,881,903,914,917,907
4812,4812804,Puskiakiwenin 122,IRI,555,526,532,538,535,583,582,593,597
4812,4812806,Saddle Lake 125,IRI,4042,4055,4075,4079,4114,3912,3902,3861,3847
4812,4812808,White Fish Lake 128,IRI,1352,1262,1238,1266,1276,1130,1125,1115,1110
4812,4812810,Cold Lake 149,IRI,689,639,642,653,660,687,687,682,686
4812,4812811,Kehewin 123,IRI,994,969,950,966,985,1065,1055,1050,1047
4812,4812813,Cold Lake 149A,IRI,41,39,37,38,40,70,70,70,70
4812,4812815,Cold Lake 149B,IRI,167,145,142,141,143,186,187,185,185
4812,4812828,Beaver Lake 131,IRI,427,387,387,390,392,416,409,404,405
4812,4812840,Heart Lake 167,IRI,190,171,170,169,168,219,218,217,216
4813,4813001,Lac Ste. Anne County,MD,11062,11373,11491,11445,11387,11629,11881,12085,12351
4813,4813002,Mayerthorpe,T,1347,1254,1255,1233,1212,1379,1359,1360,1378
4813,4813003,Nakamun Park,SV,97,84,85,84,82,79,78,79,80
4813,4813005,Val Quentin,SV,256,211,215,215,213,161,164,166,170
4813,4813006,West Cove,SV,152,146,152,150,165,228,245,264,284
4813,4813007,Yellowstone,SV,140,123,106,102,98,121,119,117,115
4813,4813008,Ross Haven,SV,163,139,133,136,127,129,126,123,120
4813,4813009,Castle Island,SV,10,7,8,7,8,15,15,15,17
4813,4813010,Silver Sands,SV,163,161,164,159,147,219,227,235,243
4813,4813011,Sunset Point,SV,172,168,167,155,151,263,265,267,269
4813,4813012,Alberta Beach,VL,1043,956,1008,982,966,887,870,854,838
4813,4813013,Birch Cove,SV,45,42,39,42,42,68,68,70,69
