Table 2b - Number of Vacancies by Rental Range and Type of Unit,,,,,,,,,,,,,,,,
,,Bachelor,Bachelor,Bachelor,1 Bedroom,1 Bedroom,1 Bedroom,2 Bedroom,2 Bedroom,2 Bedroom,3 Bedroom,3 Bedroom,3 Bedroom,4+ Bedroom,4+ Bedroom,4+ Bedroom
Community,Rental Range ($),Units,Vacant,%,Units,Vacant,%,Units,Vacant,%,Units,Vacant,%,Units,Vacant,%
High Level,< 500,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
High Level,500 - 649,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
High Level,650 - 799,-,-,-,5,0,0.0,2,0,0.0,-,-,-,-,-,-
High Level,800 - 949,-,-,-,17,2,11.8,26,0,0.0,13,0,0.0,-,-,-
High Level,"950 - 1,099",-,-,-,1,0,0.0,30,2,6.7,11,0,0.0,-,-,-
High Level,"1,100 - 1,349",-,-,-,-,-,-,35,0,0.0,35,0,0.0,-,-,-
High Level,"1,350 +",-,-,-,-,-,-,11,1,9.1,20,5,25.0,-,-,-
High Prairie,,,,,,,,,,,,,,,,
High Prairie,< 500,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
High Prairie,500 - 649,5,0,0.0,14,0,0.0,-,-,-,-,-,-,-,-,-
High Prairie,650 - 799,3,0,0.0,28,1,3.6,1,0,0.0,-,-,-,-,-,-
High Prairie,800 - 949,3,2,66.7,42,1,2.4,15,3,20.0,-,-,-,-,-,-
High Prairie,"950 - 1,099",-,-,-,13,7,53.8,10,2,20.0,-,-,-,-,-,-
High Prairie,"1,100 - 1,349",-,-,-,-,-,-,9,1,11.1,9,0,0.0,-,-,-
High Prairie,"1,350 +",-,-,-,-,-,-,1,0,0.0,4,0,0.0,-,-,-
High River,,,,,,,,,,,,,,,,
High River,< 500,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
High River,500 - 649,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
High River,650 - 799,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
High River,800 - 949,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
High River,"950 - 1,099",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
High River,"1,100 - 1,349",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
High River,"1,350 +",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Hinton,,,,,,,,,,,,,,,,
Hinton,< 500,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Hinton,500 - 649,2,0,0.0,-,-,-,-,-,-,-,-,-,-,-,-
Hinton,650 - 799,4,0,0.0,47,7,14.9,-,-,-,-,-,-,-,-,-
Hinton,800 - 949,2,0,0.0,56,3,5.4,40,2,5.0,-,-,-,-,-,-
Hinton,"950 - 1,099",-,-,-,2,1,50.0,122,18,14.8,28,3,10.7,-,-,-
Hinton,"1,100 - 1,349",-,-,-,16,1,6.3,-,-,-,6,0,0.0,-,-,-
Hinton,"1,350 +",-,-,-,-,-,-,16,1,6.3,1,0,0.0,-,-,-
Innisfail,,,,,,,,,,,,,,,,
Innisfail,< 500,-,-,-,-,-,-,5,0,0.0,-,-,-,-,-,-
Innisfail,500 - 649,-,-,-,1,0,0.0,11,1,9.1,-,-,-,-,-,-
Innisfail,650 - 799,-,-,-,19,0,0.0,28,0,0.0,3,0,0.0,-,-,-
Innisfail,800 - 949,17,0,0.0,18,0,0.0,84,2,2.4,2,0,0.0,-,-,-
Innisfail,"950 - 1,099",-,-,-,4,0,0.0,24,5,20.8,7,0,0.0,-,-,-
Innisfail,"1,100 - 1,349",-,-,-,1,0,0.0,-,-,-,14,0,0.0,-,-,-
Innisfail,"1,350 +",-,-,-,-,-,-,-,-,-,3,0,0.0,2,0,0.0
Jasper,,,,,,,,,,,,,,,,
Jasper,< 500,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Jasper,500 - 649,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Jasper,650 - 799,3,0,0.0,-,-,-,-,-,-,-,-,-,-,-,-
Jasper,800 - 949,144,0,0.0,22,0,0.0,-,-,-,-,-,-,-,-,-
Jasper,"950 - 1,099",2,0,0.0,-,-,-,5,0,0.0,-,-,-,-,-,-
Jasper,"1,100 - 1,349",-,-,-,90,0,0.0,26,0,0.0,2,0,0.0,-,-,-
Jasper,"1,350 +",-,-,-,-,-,-,44,0,0.0,19,0,0.0,-,-,-
Lac La Biche,,,,,,,,,,,,,,,,
Lac La Biche,< 500,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Lac La Biche,500 - 649,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Lac La Biche,650 - 799,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Lac La Biche,800 - 949,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Lac La Biche,"950 - 1,099",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Lac La Biche,"1,100 - 1,349",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Lac La Biche,"1,350 +",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Lacombe,,,,,,,,,,,,,,,,
Lacombe,< 500,-,-,-,-,-,-,1,0,0.0,-,-,-,-,-,-
Lacombe,500 - 649,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Lacombe,650 - 799,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Lacombe,800 - 949,-,-,-,3,0,0.0,4,0,0.0,-,-,-,-,-,-
Lacombe,"950 - 1,099",-,-,-,-,-,-,1,0,0.0,-,-,-,-,-,-
Lacombe,"1,100 - 1,349",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Lacombe,"1,350 +",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Mayerthorpe,,,,,,,,,,,,,,,,
Mayerthorpe,< 500,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Mayerthorpe,500 - 649,-,-,-,-,-,-,1,0,0.0,-,-,-,-,-,-
Mayerthorpe,650 - 799,-,-,-,5,0,0.0,4,0,0.0,-,-,-,-,-,-
Mayerthorpe,800 - 949,-,-,-,-,-,-,17,0,0.0,2,0,0.0,-,-,-
Mayerthorpe,"950 - 1,099",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Mayerthorpe,"1,100 - 1,349",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Mayerthorpe,"1,350 +",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Mclennan,,,,,,,,,,,,,,,,
