Table 8: Weighted Rents by Bedroom Type and Overall Vacancy Rates by Community
Sexsmith,4+ Bedroom,0,"1,400","1,450","1,425","1,400","1,400","1,400",0,0
Sexsmith,Bachelor,500,0,0,0,0,0,0,0,0
Sexsmith,Overall Vacancy Rate,1,0,3,14,17,2,0,0,0
Slave Lake,1 - Bedroom,959,964,"1,009","1,042","1,045","1,071","1,025",895,"1,036"
Slave Lake,2 - Bedroom,"1,130","1,128","1,158","1,152","1,188","1,254","1,331","1,055","1,314"
Slave Lake,3 - Bedroom,"1,251","1,292","1,298","1,289","1,298","1,294","1,317","1,206","1,340"
Slave Lake,Bachelor,0,0,0,0,"1,200","1,300","1,300","1,200","1,300"
Slave Lake,Overall Vacancy Rate,0,2,0,9,11,11,6,0,7
Smoky Lake,1 - Bedroom,729,732,850,850,836,971,971,837,909
Smoky Lake,2 - Bedroom,985,985,"1,140","1,090","1,080","1,110","1,100","1,241","1,217"
Smoky Lake,3 - Bedroom,820,820,"1,040",940,"1,020","1,040","1,040","1,100",888
Smoky Lake,Overall Vacancy Rate,21,14,7,3,3,5,0,21,6
Spirit River,1 - Bedroom,588,600,666,750,748,745,734,855,885
Spirit River,2 - Bedroom,673,668,700,809,809,827,827,847,857
Spirit River,3 - Bedroom,900,963,"1,013","1,025",933,920,950,975,"1,000"
Spirit River,Bachelor,700,550,575,625,550,625,625,0,0
Spirit River,Overall Vacancy Rate,0,3,3,3,9,11,9,11,11
St. Paul,1 - Bedroom,737,758,808,843,829,859,837,854,882
St. Paul,2 - Bedroom,787,804,842,877,874,894,862,917,965
St. Paul,3 - Bedroom,847,901,984,"1,014","1,049","1,143",989,"1,140","1,160"
St. Paul,4+ Bedroom,0,0,"1,400","1,400","1,375","1,375","1,300",0,"1,300"
St. Paul,Bachelor,561,582,560,579,617,642,667,0,690
St. Paul,Overall Vacancy Rate,4,1,2,7,7,5,13,17,17
Stettler,1 - Bedroom,597,605,608,638,673,639,672,734,770
Stettler,2 - Bedroom,681,689,704,741,767,727,738,812,857
Stettler,3 - Bedroom,849,862,887,894,880,883,921,975,"1,210"
Stettler,Bachelor,478,481,448,454,582,480,581,620,598
Stettler,Overall Vacancy Rate,2,0,1,10,18,15,16,15,14
Sundre,1 - Bedroom,729,681,705,845,828,850,852,800,836
Sundre,2 - Bedroom,803,800,877,870,910,919,921,938,975
Sundre,3 - Bedroom,713,713,750,750,750,800,800,"1,050","1,050"
Sundre,Bachelor,625,575,765,860,851,857,857,861,675
Sundre,Overall Vacancy Rate,3,5,3,10,6,10,11,1,3
Swan Hills,1 - Bedroom,549,570,574,557,577,579,579,650,638
Swan Hills,2 - Bedroom,831,846,787,791,828,696,680,663,920
Swan Hills,3 - Bedroom,868,"1,007",952,983,993,804,875,863,971
Swan Hills,Bachelor,407,525,600,508,509,0,468,0,400
Swan Hills,Overall Vacancy Rate,9,15,28,42,54,42,63,52,32
Taber,1 - Bedroom,595,587,594,606,635,670,686,669,730
Taber,2 - Bedroom,724,732,740,756,771,778,794,793,852
Taber,3 - Bedroom,932,897,881,941,940,991,969,943,"1,045"
Taber,Bachelor,650,600,500,575,525,575,575,650,695
Taber,Overall Vacancy Rate,7,5,8,8,9,6,7,2,4
Tofield,1 - Bedroom,625,638,638,613,612,627,550,550,550
Tofield,2 - Bedroom,882,886,902,863,852,802,813,738,740
Tofield,3 - Bedroom,836,911,919,937,902,909,911,925,968
Tofield,Bachelor,600,575,575,500,500,450,450,500,500
Tofield,Overall Vacancy Rate,6,1,0,4,2,4,14,0,0
Two Hills,1 - Bedroom,573,592,611,638,660,673,673,548,616
Two Hills,2 - Bedroom,711,715,738,800,807,775,775,708,751
Two Hills,Overall Vacancy Rate,6,0,0,4,43,45,45,3,3
Valleyview,1 - Bedroom,717,692,819,859,900,717,813,900,900
Valleyview,2 - Bedroom,789,798,861,917,835,767,"1,016","1,100","1,000"
Valleyview,3 - Bedroom,785,878,953,"1,038",932,888,956,0,950
Valleyview,Bachelor,550,575,642,650,670,660,690,750,750
